Week_Date,Carrier_Name,Forecasted_Passengers,Lower_Bound_95,Upper_Bound_95,Year,Month
2028-10-08,Academy,2168.301299645772,1417.455940211505,2919.1466590800387,2028,10
2028-10-15,Academy,2260.3377833636996,1506.630778442929,3014.04478828447,2028,10
2028-10-22,Academy,2140.7955940908137,1384.2377690722383,2897.353419109389,2028,10
2028-10-29,Academy,2158.1152768198144,1398.7173340655463,2917.5132195740825,2028,10
2028-11-05,Academy,2302.4004900480845,1540.173012046705,3064.627968049464,2028,11
2028-11-12,Academy,2346.3994301910375,1581.3528819606934,3111.4459784213814,2028,11
2028-11-19,Academy,2356.484734637689,1588.629465922827,3124.3400033525513,2028,11
2028-11-26,Academy,2320.8254894084635,1550.171736789212,3091.479242027715,2028,11
2028-12-03,Academy,2279.492541144943,1506.050430086289,3052.934652203597,2028,12
2028-12-10,Academy,2314.8161437187136,1538.5956905666785,3091.036596870749,2028,12
2028-12-17,Academy,2320.7595479297092,1541.7706618573707,3099.748434002048,2028,12
2028-12-24,Academy,2348.4630455988936,1566.7155305040947,3130.2105606936925,2028,12
2028-12-31,Academy,2348.6395683237615,1564.1431246800935,3133.1360119674296,2028,12
2029-01-07,Academy,2405.5509057626987,1618.3151324252362,3192.786679100161,2029,1
2029-01-14,Academy,2374.334128126568,1584.3685240937707,3164.2997321593652,2029,1
2029-01-21,Academy,2367.2077173629405,1574.521683496081,3159.8937512298,2029,1
2029-01-28,Academy,2392.193051708421,1596.7958924098475,3187.5902110069947,2029,1
2029-02-04,Academy,2462.607834764748,1664.5087596162361,3260.70690991326,2029,2
2029-02-11,Academy,2469.359452866562,1668.567578228976,3270.1513275041484,2029,2
2029-02-18,Academy,2421.29602983095,1617.8203804063708,3224.7716792555293,2029,2
2029-02-25,Academy,2324.2048821938747,1518.054392551327,3130.3553718364224,2029,2
2029-03-04,Academy,2449.4739067755418,1640.6574228413992,3258.2903907096843,2029,3
2029-03-11,Academy,2370.437471246426,1558.9637517605393,3181.9111907323127,2029,3
2029-03-18,Academy,2459.960302647981,1645.8380205865396,3274.082584709422,2029,3
2029-03-25,Academy,2385.1218856916853,1568.359629657777,3201.8841417255935,2029,3
2029-04-01,Academy,2448.6948261571124,1629.3011017399233,3268.0885505743017,2029,4
2029-04-08,Academy,2360.4385088384606,1538.4217399420122,3182.455277734909,2029,4
2029-04-15,Academy,2406.161151101908,1581.5296812441952,3230.792620959621,2029,4
2029-04-22,Academy,2360.5930711886467,1533.3551647719642,3187.8309776053293,2029,4
2029-04-29,Academy,2375.9456630460577,1546.1095065991126,3205.781819493003,2029,4
2029-05-06,Academy,2424.6718687213497,1592.2455721129581,3257.0981653297413,2029,5
2029-05-13,Academy,2482.991377158564,1647.9829747793183,3317.9997795378094,2029,5
2029-05-20,Academy,2489.5506063381517,1651.9680582313626,3327.133154444941,2029,5
2029-05-27,Academy,2533.8012758355617,1693.652468691752,3373.9500829793715,2029,5
2029-06-03,Academy,2581.433803843077,1738.7265514743285,3424.1410562118253,2029,6
2029-06-10,Academy,2531.6332174156764,1686.375259000779,3376.891175830574,2029,6
2029-06-17,Academy,2589.9560867540204,1742.155075249965,3437.7570982580755,2029,6
2029-06-24,Academy,2561.9972428497645,1711.660689740272,3412.3337959592573,2029,6
2029-07-01,Academy,2627.3455721672053,1774.480598078214,3480.2105462561967,2029,7
2029-07-08,Academy,2502.69116759862,1647.3033900039836,3358.078945193256,2029,7
2029-07-15,Academy,2442.1501664191615,1584.2387627869448,3300.061570051378,2029,7
2029-07-22,Academy,2611.6869262007895,1751.2229782755826,3472.1508741259963,2029,7
2029-07-29,Academy,2606.1085968071757,1742.9450791859065,3469.272114428445,2029,7
2029-08-05,Academy,2581.2527096986937,1699.1076153801969,3463.3978040171905,2029,8
2029-08-12,Academy,2523.608256847398,1635.4167790048218,3411.7997346899742,2029,8
2029-08-19,Academy,2386.4006076309074,1494.9276100017098,3277.8736052601053,2029,8
2029-08-26,Academy,2323.488465401666,1429.0282058046184,3217.9487249987133,2029,8
2029-09-02,Academy,2278.8045708110362,1381.427314073357,3176.181827548716,2029,9
2029-09-09,Academy,2481.7899722025713,1581.5181685726166,3382.061775832526,2029,9
2029-09-16,Academy,2466.3219623304776,1563.1676957544987,3369.4762289064565,2029,9
2029-09-23,Academy,2464.8412627983225,1558.8143103422897,3370.868215254355,2029,9
2029-09-30,Academy,2550.452440473581,1641.5620128785426,3459.3428680686197,2029,9
2029-10-07,Academy,2446.6256778715515,1534.8807966756176,3358.3705590674854,2029,10
2029-10-14,Academy,2537.9532110047558,1623.362791115926,3452.5436308935855,2029,10
2029-10-21,Academy,2419.7660852894755,1502.338953865152,3337.1932167137993,2029,10
2029-10-28,Academy,2436.8166738713444,1516.5615753997477,3357.071772342941,2029,10
2029-11-04,Academy,2580.0675281722006,1656.993126546402,3503.141929797999,2029,11
2029-11-11,Academy,2624.500333305973,1698.615213225999,3550.385453385947,2029,11
2029-11-18,Academy,2634.553378843865,1705.8660470530708,3563.2407106346595,2029,11
2029-11-25,Academy,2598.7417694789565,1667.2606559448677,3530.2228830130452,2029,11
2029-12-02,Academy,2557.1786697845027,1622.9121288485412,3491.4452107204643,2029,12
2029-12-09,Academy,2592.6763969715844,1655.6327084734817,3529.720085469687,2029,12
2029-12-16,Academy,2598.656859293031,1658.8442296716792,3538.469488914383,2029,12
2029-12-23,Academy,2626.475605402411,1683.9021687740128,3569.0490420308092,2029,12
2029-12-30,Academy,2626.65295165312,1681.326770867283,3571.979132438957,2029,12
2030-01-06,Academy,2682.924733724626,1734.8538013989873,3630.995666050265,2030,1
2030-01-13,Academy,2651.8982207557315,1701.0904602896771,3602.705981221786,2030,1
2030-01-20,Academy,2645.1864291149195,1691.6496956829342,3598.723162546905,2030,1
2030-01-27,Academy,2669.943096903177,1713.6851784283501,3626.201015378004,2030,1
2030-02-03,Academy,2740.1172210912932,1781.1458391994893,3699.088602983097,2030,2
2030-02-10,Academy,2746.573768533224,1784.8965794884057,3708.2509575780427,2030,2
2030-02-17,Academy,2698.733982482036,1734.3585781032164,3663.109386860856,2030,2
2030-02-24,Academy,2602.636111726933,1635.5700202872217,3569.7022031666443,2030,2
2030-03-03,Academy,2727.5938184161832,1757.8445055243674,3697.343131307999,2030,3
2030-03-10,Academy,2648.515225492451,1676.090094957551,3620.9403560273513,2030,3
2030-03-17,Academy,2737.527316549178,1762.4337112283938,3712.6209218699623,2030,3
2030-03-24,Academy,2663.286807740813,1685.5320103712709,3641.041605110355,2030,3
2030-03-31,Academy,2726.5918355760127,1746.1830695907088,3707.0006015613167,2030,3
2030-04-07,Academy,2639.3326898466053,1656.2771201749242,3622.3882595182863,2030,4
2030-04-14,Academy,2684.3682437478074,1698.6729776009802,3670.0635098946345,2030,4
2030-04-21,Academy,2638.9934548505894,1650.665542492396,3627.3213672087827,2030,4
2030-04-28,Academy,2654.2403904767307,1663.2868259795664,3645.193954973895,2030,4
2030-05-05,Academy,2702.484796211448,1708.9125181970521,3696.057074225844,2030,5
2030-05-12,Academy,2760.469895936354,1764.2857882968847,3756.6540035758235,2030,5
2030-05-19,Academy,2766.95242451192,1768.16331709105,3765.74153193279,2030,5
2030-05-26,Academy,2811.5354974864586,1810.148166628905,3812.922828344012,2030,5
2030-06-02,Academy,2859.217629087951,1855.2387976488662,3863.196460527036,2030,6
2030-06-09,Academy,2810.015127298041,1803.4514622930717,3816.5787923030102,2030,6
2030-06-16,Academy,2867.886971900514,1858.7450716999294,3877.0288721010984,2030,6
2030-06-23,Academy,2839.6017512318895,1827.888086265602,3851.315416198177,2030,6
2030-06-30,Academy,2904.8490697002917,1890.5697163267946,3919.128423073789,2030,6
2030-07-07,Academy,2781.26928909528,1764.428743509115,3798.1098346814447,2030,7
2030-07-14,Academy,2720.497165862251,1701.093075620211,3739.9012561042914,2030,7
2030-07-21,Academy,2889.8218274385335,1867.8218044739854,3911.821850403082,2030,7
2030-07-28,Academy,2884.2174736426214,1859.4612778153212,3908.9736694699213,2030,7
2026-01-04,Coach USA,6172.839927206528,4612.613486636656,7733.0663677764005,2026,1
2026-01-11,Coach USA,6247.44900903711,4660.068028363931,7834.829989710289,2026,1
2026-01-18,Coach USA,6140.473446615749,4526.394697064616,7754.552196166882,2026,1
2026-01-25,Coach USA,6253.911252973208,4613.569202758634,7894.253303187783,2026,1
2026-02-01,Coach USA,6090.972958053819,4424.781530380587,7757.16438572705,2026,2
2026-02-08,Coach USA,6549.38992967223,4857.744072643824,8241.035786700635,2026,2
2026-02-15,Coach USA,6280.599998816206,4563.877092360136,7997.322905272275,2026,2
2026-02-22,Coach USA,6222.8395686019985,4481.400689542334,7964.278447661663,2026,2
2026-03-01,Coach USA,6193.980477437359,4428.171540589946,7959.789414284772,2026,3
2026-03-08,Coach USA,6335.342828058931,4545.4956185464,8125.190037571463,2026,3
2026-03-15,Coach USA,6431.913099091916,4618.346208858913,8245.479989324918,2026,3
2026-03-22,Coach USA,6366.199933102798,4529.219612767545,8203.180253438051,2026,3
2026-03-29,Coach USA,6222.599226911875,4362.500162547663,8082.698291276087,2026,3
2026-04-05,Coach USA,6470.053758328018,4587.119781472159,8352.987735183879,2026,4
2026-04-12,Coach USA,6080.751026781283,4175.25576487486,7986.2462886877065,2026,4
2026-04-19,Coach USA,6546.020239960271,4618.22771349446,8473.812766426083,2026,4
2026-04-26,Coach USA,6564.100797575366,4614.2659694304175,8513.935625720316,2026,4
2026-05-03,Coach USA,6601.037131250122,4629.406413038253,8572.667849461992,2026,5
2026-05-10,Coach USA,6465.764733001524,4472.576452646089,8458.953013356959,2026,5
2026-05-17,Coach USA,6598.916915761174,4584.401750046142,8613.432081476207,2026,5
2026-05-24,Coach USA,6350.9851441160135,4315.366519509364,8386.603768722664,2026,5
2026-05-31,Coach USA,6598.45958155869,4541.954046240324,8654.965116877056,2026,5
2026-06-07,Coach USA,6858.352319855011,4781.169889555573,8935.53475015445,2026,6
2026-06-14,Coach USA,6918.1200284638335,4820.464508438128,9015.775548489539,2026,6
2026-06-21,Coach USA,6830.427086484117,4712.496371695768,8948.357801272467,2026,6
2026-06-28,Coach USA,6626.18616517118,4488.172520545666,8764.199809796693,2026,6
2026-07-05,Coach USA,6996.52894958809,4838.619271973325,9154.438627202853,2026,7
2026-07-12,Coach USA,6972.722709445861,4795.098770861049,9150.346648030674,2026,7
2026-07-19,Coach USA,6681.849560457682,4484.688184261548,8879.010936653816,2026,7
2026-07-26,Coach USA,6913.2122927702385,4696.683611038783,9129.740974501694,2026,7
2026-08-02,Coach USA,6988.907923733425,4753.113480739201,9224.70236672765,2026,8
2026-08-09,Coach USA,7010.178680147408,4697.839424741823,9322.517935552994,2026,8
2026-08-16,Coach USA,6859.215302421997,4513.84755829618,9204.583046547814,2026,8
2026-08-23,Coach USA,6289.539095164715,3910.737736768649,8668.34045356078,2026,8
2026-08-30,Coach USA,5625.755713487923,3214.1446538427294,8037.366773133115,2026,8
2026-09-06,Coach USA,6702.513588053717,4258.524816064428,9146.502360043007,2026,9
2026-09-13,Coach USA,6678.776112155124,4202.833599730282,9154.718624579966,2026,9
2026-09-20,Coach USA,6646.043735836646,4138.554608964787,9153.532862708505,2026,9
2026-09-27,Coach USA,6472.619246224854,3933.975493116623,9011.262999333085,2026,9
2026-10-04,Coach USA,6936.70637935965,4367.285726792009,9506.127031927292,2026,10
