Week_Date,Forecasted_Passengers,Lower_Bound_95,Upper_Bound_95,Year,Month
2029-09-02,209771.05934970145,168788.35208374757,250753.76661565533,2029,9
2029-09-09,210187.1181690557,168304.9449853337,252069.29135277768,2029,9
2029-09-16,210603.17341185053,167855.93423929665,253350.4125844044,2029,9
2029-09-23,211019.2267030019,167439.30272733513,254599.1506786687,2029,9
2029-09-30,211435.27892917825,167053.24473090924,255817.31312744727,2029,9
2029-10-07,211851.3305742003,166696.13998450545,257006.52116389517,2029,10
2029-10-14,212267.38190205567,166366.5302580776,258168.23354603373,2029,10
2029-10-21,212683.43305675735,166063.0988595574,259303.7672539573,2029,10
2029-10-28,213099.48411681977,165784.65296040245,260414.3152732371,2029,10
2029-11-04,213515.53512495809,165530.10845615473,261500.96179376144,2029,11
2029-11-11,213931.5861042461,165298.47702294184,262564.6951855503,2029,11
2029-11-18,214347.6370668444,165088.85504178551,263606.4190919033,2029,11
2029-11-25,214763.68801860054,164900.41409746805,264626.961939733,2029,11
2029-12-02,215409.63177387553,165313.2156277466,265506.04792000446,2029,12
2029-12-09,216175.71045089478,165958.7005810861,266392.72032070346,2029,12
2029-12-16,216836.01183105313,166699.13399258442,266972.8896695218,2029,12
2029-12-23,217438.59325507848,167565.89903935423,267311.2874708027,2029,12
2029-12-30,218009.67835501017,168532.44324254405,267486.9134674763,2029,12
2030-01-06,218563.57665880487,169571.98500833072,267555.168309279,2030,1
2030-01-13,219108.09645073712,170666.68216395497,267549.5107375193,2030,1
2030-01-20,219647.49840850558,171806.2475671859,267488.74924982525,2030,1
2030-01-27,220184.10728837486,172985.34512139103,267382.86945535865,2030,1
2030-02-03,220719.19130995785,174201.63212811772,267236.750491798,2030,2
2030-02-10,221253.4418852285,175454.5380946386,267052.3456758184,2030,2
2030-02-17,221787.23515870023,176744.5578685862,266829.91244881426,2030,2
2030-02-24,222320.7742914865,178072.85664487456,266568.69193809846,2030,2
2030-03-03,222854.1663109878,179441.04940182672,266267.28322014894,2030,3
2030-03-10,223387.46259611112,180851.0658075627,265923.85938465956,2030,3
2030-03-17,223920.67831235193,182305.03606784606,265536.3205568578,2030,3
2030-03-24,224453.7981484412,183805.13449779875,265102.4617990836,2030,3
2030-03-31,224986.77052455675,185353.29254543784,264620.2485036757,2030,3
2030-04-07,225519.48808124103,186950.62844275852,264088.34771972353,2030,4
2030-04-14,226051.7470685746,188596.30615305374,263507.1879840954,2030,4
2030-04-21,226583.1702737616,190285.2701509574,262881.07039656583,2030,4
2030-04-28,227113.06433297033,192003.78783500707,262222.3408309336,2030,4
2030-05-05,227640.15745282653,193720.7653089776,261559.54959667547,2030,5
2030-05-12,228162.11832955465,195371.10979831126,260953.12686079805,2030,5
2030-05-19,228674.67428747113,196824.94990993894,260524.39866500333,2030,5
2030-05-26,229169.99505536846,197834.92018486912,260505.0699258678,2030,5
2030-06-02,229623.99634631534,197680.56885168483,261567.42384094585,2030,6
2030-06-09,230060.762513365,197079.58226875833,263041.9427579717,2030,6
2030-06-16,230488.12391885876,196278.1524810465,264698.095356671,2030,6
2030-06-23,230910.35338909918,195405.6071575166,266415.0996206817,2030,6
2030-06-30,231329.7824949404,194526.80576261727,268132.7592272635,2030,6
2030-07-07,231747.6835143227,193672.75336572685,269822.61366291856,2030,7
2030-07-14,232164.75069642777,192857.15508839706,271472.34630445845,2030,7
2030-07-21,232581.3628750867,192085.0605523535,273077.6651978199,2030,7
